dyadID;population1;population2;IBDmean;IBDmax;similarity
Bafing_Boe;Bafing;Boe;1047854.773;4637946;0.12
Bafing_Budongo;Bafing;Budongo;0;0;0.00
Bafing_Bwindi;Bafing;Bwindi;0;0;0.00
Bafing_Comoe;Bafing;Comoe;16377.21739;376676;0.08
Bafing_Dindefelo;Bafing;Dindefelo;1159829.2;2482026;0.12
Bafing_Djouroutou;Bafing;Djouroutou;233902.6667;701708;0.08
Bafing_Gashaka;Bafing;Gashaka;0;0;0.02
Bafing_Goualougo;Bafing;Goualougo;0;0;0.00
Bafing_Issa;Bafing;Issa;0;0;0.00
Bafing_Kayan;Bafing;Kayan;1777685.353;6514619;0.10
Bafing_Korup;Bafing;Korup;0;0;0.01
Bafing_LaBelgique;Bafing;LaBelgique;0;0;0.00
Bafing_Loango;Bafing;Loango;0;0;0.00
Bafing_Lope;Bafing;Lope;0;0;0.00
Bafing_MontCristal;Bafing;MontCristal;0;0;0.00
Bafing_Ngogo;Bafing;Ngogo;0;0;0.01
Bafing_RubiTele;Bafing;RubiTele;0;0;0.00
Bafing_Sapo;Bafing;Sapo;277727.25;1317516;0.52
Bafing_Tai;Bafing;Tai;0;0;0.07
Boe_Budongo;Boe;Budongo;0;0;0.01
Boe_Bwindi;Boe;Bwindi;0;0;0.01
Boe_Comoe;Boe;Comoe;98690.99699;1674129;0.16
Boe_Dindefelo;Boe;Dindefelo;1019908.483;5216315;0.19
Boe_Djouroutou;Boe;Djouroutou;92803.93023;923404;0.12
Boe_Gashaka;Boe;Gashaka;0;0;0.05
Boe_Goualougo;Boe;Goualougo;0;0;0.01
Boe_Issa;Boe;Issa;0;0;0.05
Boe_Kayan;Boe;Kayan;895428.6414;4575608;0.19
Boe_Korup;Boe;Korup;0;0;0.02
Boe_LaBelgique;Boe;LaBelgique;0;0;0.00
Boe_Loango;Boe;Loango;0;0;0.01
Boe_Lope;Boe;Lope;0;0;0.00
Boe_MontCristal;Boe;MontCristal;0;0;0.00
Boe_Ngogo;Boe;Ngogo;0;0;0.05
Boe_RubiTele;Boe;RubiTele;0;0;0.00
Boe_Sapo;Boe;Sapo;193740.6032;1330922;0.12
Boe_Tai;Boe;Tai;81510.3937;1345487;0.12
Budongo_Bwindi;Budongo;Bwindi;68965.5098;1669761;0.20
Budongo_Comoe;Budongo;Comoe;0;0;0.01
Budongo_Dindefelo;Budongo;Dindefelo;0;0;0.00
Budongo_Djouroutou;Budongo;Djouroutou;0;0;0.00
Budongo_Gashaka;Budongo;Gashaka;0;0;0.04
Budongo_Goualougo;Budongo;Goualougo;0;0;0.05
Budongo_Issa;Budongo;Issa;39959.125;769032;0.15
Budongo_Kayan;Budongo;Kayan;0;0;0.01
Budongo_Korup;Budongo;Korup;0;0;0.03
Budongo_LaBelgique;Budongo;LaBelgique;0;0;0.03
Budongo_Loango;Budongo;Loango;0;0;0.03
Budongo_Lope;Budongo;Lope;0;0;0.02
Budongo_MontCristal;Budongo;MontCristal;0;0;0.33
Budongo_Ngogo;Budongo;Ngogo;532970.1535;2658794;0.27
Budongo_RubiTele;Budongo;RubiTele;28445.71429;150429;0.15
Budongo_Sapo;Budongo;Sapo;0;0;0.01
Budongo_Tai;Budongo;Tai;0;0;0.01
Bwindi_Comoe;Bwindi;Comoe;0;0;0.01
Bwindi_Dindefelo;Bwindi;Dindefelo;0;0;0.00
Bwindi_Djouroutou;Bwindi;Djouroutou;0;0;0.00
Bwindi_Gashaka;Bwindi;Gashaka;0;0;0.04
Bwindi_Goualougo;Bwindi;Goualougo;0;0;0.07
Bwindi_Issa;Bwindi;Issa;18449.92063;627748;0.17
Bwindi_Kayan;Bwindi;Kayan;0;0;0.01
