population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Bafing;W;Mali;12.98639809;-10.43459141;Ant dipping;Driver antnest;Antdip;Antdip;Ant;NA;NA;NA;NA;8;10;Ant dippingnest;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;NA;NA;NA;NA;7;7;Ant fishingprobe;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;NA;NA;NA;NA;6;10;Ant perforatingstick;Perforate
Bafing;W;Mali;12.98639809;-10.43459141;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;NA;NA;NA;NA;6;10;Honey dig;Perforate
Bafing;W;Mali;12.98639809;-10.43459141;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;NA;NA;NA;NA;8;12;Honey dipumeli;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey dipameli;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;NA;NA;NA;NA;20;36;Honey leverameli;Perforate
Bafing;W;Mali;12.98639809;-10.43459141;Honey perforate;Underground stinglessbee;Honeyperforate;Honeydig;Honey;NA;NA;NA;NA;8;12;Honey perforate;Dig
Bafing;W;Mali;12.98639809;-10.43459141;Honey pound;Aerial honey;Honeypound;Honeydip;Honey;NA;NA;NA;NA;20;36;Honey poundmeli;Pound
Bafing;W;Mali;12.98639809;-10.43459141;Honey swab;Aerial honey;Honeyswab;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey swab;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Honey whiskswat;Honey whiskswat;Honeywhiskswat;Honeydip;Honey;NA;NA;NA;NA;1;1;Honey whiskswat;Whisk
Bafing;W;Mali;12.98639809;-10.43459141;Leafsponge;Leafsponge;Leafsponge;Leafsponge;Leaf;NA;NA;NA;NA;3;3;Leafsponge;Sponge
Bafing;W;Mali;12.98639809;-10.43459141;Marrow pick;Marrow;Marrowpick;Marrowpick;Marrow;NA;NA;NA;NA;1;1;Marrow pick;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Nut branchanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut branchanvil;Smash
Bafing;W;Mali;12.98639809;-10.43459141;Nut pick;Nut;Nutpick;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut pick;Dip
Bafing;W;Mali;12.98639809;-10.43459141;Nut rootanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut rootanvil;Smash
Bafing;W;Mali;12.98639809;-10.43459141;Nut stoneanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stoneanvil;Smash
Bafing;W;Mali;12.98639809;-10.43459141;Nut stonehammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stonehammer;Pound
Bafing;W;Mali;12.98639809;-10.43459141;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut woodhammer;Pound
Bafing;W;Mali;12.98639809;-10.43459141;Stone pound;Stonepound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Stone pound;Smash
